              x     u_solution   u_analytical  log10(relErr)
    0.037303730     0.27405840     0.27405842     -7.0790944
    0.037403740     0.27464676     0.27464678     -7.0790944
    0.037503750     0.27523443     0.27523445     -7.0790944
    0.037603760     0.27582141     0.27582143     -7.0790944
    0.037703770     0.27640771     0.27640773     -7.0790944
    0.037803780     0.27699332     0.27699334     -7.0790944
    0.037903790     0.27757824     0.27757826     -7.0790944
    0.038003800     0.27816248     0.27816250     -7.0790944
    0.038103810     0.27874604     0.27874606     -7.0790944
    0.038203820     0.27932891     0.27932893     -7.0790944
    0.038303830     0.27991110     0.27991112     -7.0790944
    0.038403840     0.28049261     0.28049263     -7.0790944
    0.038503850     0.28107344     0.28107346     -7.0790944
    0.038603860     0.28165358     0.28165361     -7.0790944
    0.038703870     0.28223305     0.28223307     -7.0790944
    0.038803880     0.28281184     0.28281186     -7.0790944
    0.038903890     0.28338995     0.28338997     -7.0790944
    0.039003900     0.28396738     0.28396740     -7.0790944
    0.039103910     0.28454413     0.28454416     -7.0790944
    0.039203920     0.28512021     0.28512024     -7.0790944
    0.039303930     0.28569561     0.28569564     -7.0790944
    0.039403940     0.28627034     0.28627036     -7.0790944
    0.039503950     0.28684439     0.28684442     -7.0790944
    0.039603960     0.28741777     0.28741779     -7.0790944
    0.039703970     0.28799048     0.28799050     -7.0790944
    0.039803980     0.28856251     0.28856253     -7.0790944
    0.039903990     0.28913387     0.28913389     -7.0790944
    0.040004000     0.28970456     0.28970458     -7.0790944
    0.040104010     0.29027458     0.29027460     -7.0790944
    0.040204020     0.29084393     0.29084395     -7.0790944
    0.040304030     0.29141261     0.29141264     -7.0790944
    0.040404040     0.29198062     0.29198065     -7.0790944
    0.040504050     0.29254797     0.29254799     -7.0790944
    0.040604060     0.29311465     0.29311467     -7.0790944
    0.040704070     0.29368066     0.29368068     -7.0790944
    0.040804080     0.29424600     0.29424603     -7.0790944
    0.040904090     0.29481068     0.29481071     -7.0790944
    0.041004100     0.29537470     0.29537472     -7.0790944
    0.041104110     0.29593805     0.29593808     -7.0790944
    0.041204120     0.29650074     0.29650076     -7.0790944
    0.041304130     0.29706277     0.29706279     -7.0790944
    0.041404140     0.29762413     0.29762416     -7.0790944
    0.041504150     0.29818483     0.29818486     -7.0790944
    0.041604160     0.29874488     0.29874490     -7.0790944
